Started on DAY/MONTH/YEAR, HOURS:MINUTES:SECONDS = 24/ 5/2022, 21:42:56
 
 OPENMP_THREADS =   8, FFTW_THREADS =   8
 SWITCH_IM =  1, OPTION_FPC =  4, SWITCH_SOC =  1, GAMMAX =   0.50, TOL =  1.00E-06
 Anisotropy ALPHAX =     1.000000, ALPHAY =    20.000000, ALPHAZ =    20.000000
 
 No. of space steps NX =     2048
 No. of time steps : NITER =   9900000, NSTP =     10000, STP =     400
 Space Step DX =   0.050000
 Time Step  DT =   0.000125, MAG =    0.000000
 
 AOSC =   0.4688E-05
 A0 =    34.900000, A2 =    45.800000, A4 =    64.500000 (all in units of Bohr radius) 
 TAU(0) =   242.966174, TAU(1) =    12.061236, TAU(2) =   -13.028714 (in dimensionless units)
 
                      ---------------------------------------------------------------------------------------------------------------------
                       Norm       EN       MU1       MU2       MU3       MU4       MU5       phi1      phi2      phi3     phi4      phi5
                      ---------------------------------------------------------------------------------------------------------------------
Initial :             1.0000  56.56495 105.78548 116.68990 118.19878 116.68990 105.78548   0.33591   0.33591   0.33591   0.33591   0.33591
After NSTP iter.    : 0.9877  14.72185  24.83855  24.83910  24.83855  24.83910  24.83855   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72180  24.83852  24.83905  24.83853  24.83905  24.83852   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72177  24.83851  24.83901  24.83851  24.83901  24.83851   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72174  24.83849  24.83898  24.83849  24.83898  24.83849   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72171  24.83848  24.83896  24.83848  24.83896  24.83848   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72170  24.83847  24.83894  24.83847  24.83894  24.83847   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72168  24.83847  24.83892  24.83847  24.83892  24.83847   0.11477   0.00000   0.28112   0.00000   0.11477
After NSTP iter.    : 0.9877  14.72167  24.83846  24.83891  24.83847  24.83891  24.83846   0.11477   0.00000   0.28112   0.00000   0.11477
                      ---------------------------------------------------------------------------------------------------------------------
After   399199 iter.: 0.9877  14.72166  24.83846  24.83890  24.83846  24.83890  24.83846   0.11477   0.00000   0.28112   0.00000   0.11477
                      ---------------------------------------------------------------------------------------------------------------------
 
Ended on DAY/MONTH/YEAR, HOURS:MINUTES:SECONDS = 24/ 5/2022, 21:53:50
Time elapsed =         653.739042 in seconds
